[2026-02-05 14:28:43] [DOWODCA] START
[2026-02-05 14:28:43] [OPERATOR] START
[2026-02-05 14:28:43] [DRON 3171874] START | T1=28s T2=70s T_return=14s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171851] START | T1=25s T2=62s T_return=12s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171880] START | T1=13s T2=32s T_return=6s drain=3%/s
[2026-02-05 14:28:43] [DRON 3171774] START | T1=12s T2=30s T_return=6s drain=3%/s
[2026-02-05 14:28:43] [DRON 3171882] START | T1=34s T2=85s T_return=17s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171787] START | T1=30s T2=75s T_return=15s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171749] START | T1=17s T2=42s T_return=8s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171711] START | T1=23s T2=57s T_return=11s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171816] START | T1=22s T2=55s T_return=11s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171821] START | T1=14s T2=35s T_return=7s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171768] START | T1=29s T2=72s T_return=14s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171781] START | T1=24s T2=60s T_return=12s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171889] START | T1=26s T2=65s T_return=13s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171847] START | T1=35s T2=87s T_return=17s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171811] START | T1=23s T2=57s T_return=11s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171876] START | T1=18s T2=45s T_return=9s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171793] START | T1=17s T2=42s T_return=8s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171845] START | T1=37s T2=92s T_return=18s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171802] START | T1=24s T2=60s T_return=12s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171887] START | T1=17s T2=42s T_return=8s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171753] START | T1=28s T2=70s T_return=14s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171897] START | T1=33s T2=82s T_return=16s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171884] START | T1=37s T2=92s T_return=18s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171848] START | T1=34s T2=85s T_return=17s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171780] START | T1=26s T2=65s T_return=13s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171822] START | T1=20s T2=50s T_return=10s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171757] START | T1=8s T2=20s T_return=4s drain=5%/s
[2026-02-05 14:28:43] [DRON 3171798] START | T1=22s T2=55s T_return=11s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171890] START | T1=24s T2=60s T_return=12s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171843] START | T1=13s T2=32s T_return=6s drain=3%/s
[2026-02-05 14:28:43] [DRON 3171746] START | T1=22s T2=55s T_return=11s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171894] START | T1=27s T2=67s T_return=13s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171855] START | T1=33s T2=82s T_return=16s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171920] START | T1=36s T2=90s T_return=18s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171923] START | T1=23s T2=57s T_return=11s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171913] START | T1=33s T2=82s T_return=16s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171797] START | T1=31s T2=77s T_return=15s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171801] START | T1=19s T2=47s T_return=9s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171922] START | T1=31s T2=77s T_return=15s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171931] START | T1=11s T2=27s T_return=5s drain=3%/s
[2026-02-05 14:28:43] [DRON 3171928] START | T1=32s T2=80s T_return=16s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171750] START | T1=35s T2=87s T_return=17s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171862] START | T1=7s T2=17s T_return=3s drain=5%/s
[2026-02-05 14:28:43] [DRON 3171804] START | T1=21s T2=52s T_return=10s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171837] START | T1=19s T2=47s T_return=9s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171834] START | T1=15s T2=37s T_return=7s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171775] START | T1=38s T2=95s T_return=19s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171936] START | T1=8s T2=20s T_return=4s drain=5%/s
[2026-02-05 14:28:43] [DRON 3171939] START | T1=29s T2=72s T_return=14s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171942] START | T1=26s T2=65s T_return=13s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171944] START | T1=26s T2=65s T_return=13s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171947] START | T1=33s T2=82s T_return=16s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171949] START | T1=37s T2=92s T_return=18s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171950] START | T1=26s T2=65s T_return=13s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171951] START | T1=33s T2=82s T_return=16s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171807] START | T1=8s T2=20s T_return=4s drain=5%/s
[2026-02-05 14:28:43] [DRON 3171789] START | T1=32s T2=80s T_return=16s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171832] START | T1=34s T2=85s T_return=17s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171896] START | T1=10s T2=25s T_return=5s drain=4%/s
[2026-02-05 14:28:43] [DRON 3171813] START | T1=22s T2=55s T_return=11s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171818] START | T1=37s T2=92s T_return=18s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171820] START | T1=15s T2=37s T_return=7s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171869] START | T1=38s T2=95s T_return=19s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171836] START | T1=34s T2=85s T_return=17s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171954] START | T1=22s T2=55s T_return=11s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171885] START | T1=17s T2=42s T_return=8s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171819] START | T1=23s T2=57s T_return=11s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171838] START | T1=10s T2=25s T_return=5s drain=4%/s
[2026-02-05 14:28:43] [DRON 3171828] START | T1=40s T2=100s T_return=20s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171854] START | T1=16s T2=40s T_return=8s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171953] START | T1=32s T2=80s T_return=16s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171907] START | T1=24s T2=60s T_return=12s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171952] START | T1=31s T2=77s T_return=15s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171904] START | T1=11s T2=27s T_return=5s drain=3%/s
[2026-02-05 14:28:43] [DRON 3171791] START | T1=23s T2=57s T_return=11s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171958] START | T1=18s T2=45s T_return=9s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171960] START | T1=13s T2=32s T_return=6s drain=3%/s
[2026-02-05 14:28:43] [DRON 3171925] START | T1=15s T2=37s T_return=7s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171941] START | T1=10s T2=25s T_return=5s drain=4%/s
[2026-02-05 14:28:43] [DRON 3171830] START | T1=39s T2=97s T_return=19s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171929] START | T1=29s T2=72s T_return=14s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171901] START | T1=14s T2=35s T_return=7s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171875] START | T1=18s T2=45s T_return=9s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171905] START | T1=34s T2=85s T_return=17s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171934] START | T1=28s T2=70s T_return=14s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171968] START | T1=26s T2=65s T_return=13s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171853] START | T1=36s T2=90s T_return=18s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171808] START | T1=14s T2=35s T_return=7s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171967] START | T1=7s T2=17s T_return=3s drain=5%/s
[2026-02-05 14:28:43] [DRON 3171975] START | T1=21s T2=52s T_return=10s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171976] START | T1=24s T2=60s T_return=12s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171980] START | T1=31s T2=77s T_return=15s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171983] START | T1=27s T2=67s T_return=13s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171984] START | T1=30s T2=75s T_return=15s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171812] START | T1=14s T2=35s T_return=7s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171910] START | T1=12s T2=30s T_return=6s drain=3%/s
[2026-02-05 14:28:43] [DRON 3171918] START | T1=8s T2=20s T_return=4s drain=5%/s
[2026-02-05 14:28:43] [DRON 3171994] START | T1=7s T2=17s T_return=3s drain=5%/s
[2026-02-05 14:28:43] [DRON 3171864] START | T1=28s T2=70s T_return=14s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171903] START | T1=16s T2=40s T_return=8s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171987] START | T1=37s T2=92s T_return=18s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171846] START | T1=13s T2=32s T_return=6s drain=3%/s
[2026-02-05 14:28:43] [DRON 3171995] START | T1=20s T2=50s T_return=10s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171991] START | T1=7s T2=17s T_return=3s drain=5%/s
[2026-02-05 14:28:43] [DRON 3171965] START | T1=31s T2=77s T_return=15s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171863] START | T1=37s T2=92s T_return=18s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171937] START | T1=11s T2=27s T_return=5s drain=3%/s
[2026-02-05 14:28:43] [DRON 3171909] START | T1=11s T2=27s T_return=5s drain=3%/s
[2026-02-05 14:28:43] [DRON 3171962] START | T1=17s T2=42s T_return=8s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171927] START | T1=40s T2=100s T_return=20s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171978] START | T1=17s T2=42s T_return=8s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171815] START | T1=35s T2=87s T_return=17s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171912] START | T1=38s T2=95s T_return=19s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171817] START | T1=16s T2=40s T_return=8s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171985] START | T1=7s T2=17s T_return=3s drain=5%/s
[2026-02-05 14:28:43] [DRON 3171794] START | T1=34s T2=85s T_return=17s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171867] START | T1=33s T2=82s T_return=16s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171938] START | T1=10s T2=25s T_return=5s drain=4%/s
[2026-02-05 14:28:43] [DRON 3171933] START | T1=19s T2=47s T_return=9s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171973] START | T1=13s T2=32s T_return=6s drain=3%/s
[2026-02-05 14:28:43] [DRON 3171977] START | T1=17s T2=42s T_return=8s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171935] START | T1=40s T2=100s T_return=20s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171881] START | T1=24s T2=60s T_return=12s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171992] START | T1=12s T2=30s T_return=6s drain=3%/s
[2026-02-05 14:28:43] [DRON 3171844] START | T1=35s T2=87s T_return=17s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171932] START | T1=9s T2=22s T_return=4s drain=4%/s
[2026-02-05 14:28:43] [DRON 3171898] START | T1=8s T2=20s T_return=4s drain=5%/s
[2026-02-05 14:28:43] [DRON 3171814] START | T1=36s T2=90s T_return=18s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171850] START | T1=22s T2=55s T_return=11s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171997] START | T1=36s T2=90s T_return=18s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171961] START | T1=8s T2=20s T_return=4s drain=5%/s
[2026-02-05 14:28:43] [DRON 3171877] START | T1=29s T2=72s T_return=14s drain=1%/s
[2026-02-05 14:28:44] [DRON 3171898] LOT | bateria=95%
[2026-02-05 14:28:44] [DRON 3171997] LOT | bateria=99%
